127.0.0.1 - - [06/May/2022:12:09:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/May/2022:12:09:45 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [06/May/2022:12:09:45 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:12:09:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2022:12:10:28 +0900] "GET /WebMarket/product.jsp HTTP/1.1" 500 2639
0:0:0:0:0:0:0:1 - - [06/May/2022:12:10:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2022:12:11:19 +0900] "GET /WebMarket/product.jsp HTTP/1.1" 500 2631
0:0:0:0:0:0:0:1 - - [06/May/2022:12:11:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2022:12:15:57 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [06/May/2022:12:15:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2022:12:20:26 +0900] "GET /WebMarket/addProduct.jsp HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [06/May/2022:12:20:26 +0900] "GET /WebMarket/resources/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:12:20:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2022:12:20:29 +0900] "GET /WebMarket/addProduct.jsp?language=en HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [06/May/2022:12:20:33 +0900] "GET /WebMarket/addProduct.jsp?language=ko HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [06/May/2022:12:20:43 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [06/May/2022:12:20:45 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [06/May/2022:12:20:46 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [06/May/2022:12:20:49 +0900] "GET /WebMarket/addProduct.jsp?language=en HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [06/May/2022:12:21:06 +0900] "GET /WebMarket/addProduct.jsp?language=en HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [06/May/2022:12:21:07 +0900] "GET /WebMarket/addProduct.jsp?language=ko HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [06/May/2022:12:23:11 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [06/May/2022:12:23:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2022:12:23:18 +0900] "GET /WebMarket/product.jsp?id=p1234 HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [06/May/2022:12:23:23 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [06/May/2022:12:23:23 +0900] "GET /WebMarket/product.jsp?id=p1235 HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [06/May/2022:12:23:25 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [06/May/2022:12:23:26 +0900] "GET /WebMarket/product.jsp?id=p1236 HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [06/May/2022:12:23:31 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [06/May/2022:12:23:36 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [06/May/2022:12:24:35 +0900] "GET /WebMarket/addProduct.jsp HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [06/May/2022:12:24:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2022:12:25:51 +0900] "GET /WebMarket/addProduct.jsp HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [06/May/2022:12:27:42 +0900] "GET /WebMarket/addProduct.jsp HTTP/1.1" 200 3071
