127.0.0.1 - - [16/Apr/2022:18:44:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:44:21 +0900] "GET /JSPBook/ch05/response01.jsp HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:44:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:52:17 +0900] "GET /JSPBook/ch06/form01.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:52:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:52:45 +0900] "GET /JSPBook/ch06/form01.jsp HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:52:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:53:00 +0900] "GET /JSPBook/ch06/form01.jsp HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:53:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:53:13 +0900] "POST /JSPBook/ch06/form01.jsp HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:56:42 +0900] "GET /JSPBook/ch06/form2.jsp HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [16/Apr/2022:18:56:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
